doc_id,related_cluster,relevance_score
1623,28,0.7583159052925651
2337,28,0.7583159052925651
1441,28,0.7583159052925651
1081,28,0.7583159052925651
1241,28,0.7583159052925651
939,28,0.7583159052925651
207,28,0.7583159052925651
613,28,0.7583159052925651
1591,28,0.7583159052925651
130,28,0.7583159052925651
2228,28,0.7583159052925651
811,28,0.7583159052925651
509,28,0.7583159052925651
572,28,0.7583159052925651
2074,28,0.7583159052925651
169,28,0.7583159052925651
689,28,0.7583159052925651
2480,28,0.7583159052925651
1585,28,0.7583159052925651
451,28,0.7583159052925651
3518,28,0.7583159052925651
1573,28,0.7583159052925651
183,28,0.7583159052925651
1611,28,0.7583159052925651
1080,28,0.7583159052925651
1610,28,0.7583159052925651
531,28,0.7583159052925651
2221,28,0.7583159052925651
753,28,0.7583159052925651
1766,28,0.7583159052925651
886,28,0.7583159052925651
609,28,0.7583159052925651
750,28,0.7583159052925651
2809,28,0.7583159052925651
1768,28,0.7583159052925651
1934,28,0.7583159052925651
1602,28,0.7583159052925651
2662,28,0.7583159052925651
1584,28,0.7583159052925651
226,28,0.7583159052925651
2721,28,0.7583159052925651
303,28,0.7583159052925651
2186,28,0.7583159052925651
1419,28,0.7583159052925651
507,28,0.7583159052925651
1231,28,0.7583159052925651
75,28,0.7583159052925651
767,28,0.7583159052925651
2407,28,0.7583159052925651
1702,28,0.7583159052925651
904,28,0.7583159052925651
3206,28,0.7583159052925651
1407,28,0.7583159052925651
157,28,0.7583159052925651
832,28,0.7583159052925651
926,28,0.7583159052925651
1495,28,0.7583159052925651
1816,28,0.7583159052925651
2046,28,0.7583159052925651
1181,28,0.7583159052925651
4043,28,0.7583159052925651
664,28,0.7583159052925651
3597,28,0.7583159052925651
429,28,0.7583159052925651
1677,28,0.7583159052925651
1335,28,0.7583159052925651
2430,28,0.7583159052925651
1846,28,0.7583159052925651
603,28,0.7583159052925651
630,28,0.7583159052925651
622,28,0.7583159052925651
698,28,0.7583159052925651
89,28,0.7583159052925651
946,28,0.7583159052925651
1210,28,0.7583158704062052
2819,28,0.7583158704062052
2888,28,0.7583158704062052
1123,28,0.7583158704062052
856,28,0.7583158704062052
1039,28,0.7583158704062052
1572,28,0.7583158704062052
1349,28,0.7583158704062052
1656,28,0.7583158704062052
215,28,0.7583158704062052
467,28,0.7583158704062052
959,28,0.7583158704062052
1672,28,0.7583158704062052
1092,28,0.7583158704062052
1565,28,0.7583158704062052
524,28,0.7583158704062052
2303,28,0.7583158704062052
210,28,0.7583158704062052
802,28,0.7583158704062052
985,28,0.7583158704062052
2628,28,0.7583158499253415
1268,28,0.7583158499253415
2560,28,0.7583158499253415
648,28,0.7583158499253415
1913,28,0.7583158499253415
1410,28,0.7583158499253415
651,28,0.7583158499253415
1169,28,0.7583158294444788
625,28,0.7583158294444788
1914,28,0.7583158294444788
2897,28,0.7583158150389795
294,28,0.7583158150389795
2831,28,0.7583158150389795
991,28,0.7583158150389795
2389,28,0.7583158150389795
400,28,0.7583158150389795
2398,28,0.7583157945581173
2156,28,0.7583157945581173
589,28,0.7583157945581173
3972,20,0.7583142321251347
2490,28,0.7583128972362696
869,28,0.758312876755486
853,28,0.758312876755486
1855,28,0.758312876755486
650,28,0.758312876755486
621,28,0.758312876755486
1037,28,0.758312876755486
2193,28,0.7583128213882446
3476,20,0.7583103321177946
2818,20,0.7583103321177946
677,20,0.7583103321177946
2916,20,0.7583103116370804
3466,20,0.7583103116370804
2079,20,0.7583103116370804
671,3,0.7583087492041883
3767,20,0.7583046072468849
2685,20,0.7583046072468849
2373,20,0.7583045867663253
3486,20,0.7583045867663253
2031,20,0.7583045867663253
419,3,0.7582909450711851
1168,3,0.7582827862969248
154,3,0.7582826346021704
3418,20,0.7582809265474525
