doc_id,top_cluster,top_score
866,33,0.7629034718360174
2449,17,0.7627753206905155
166,31,0.7621839872116704
9260,39,0.762163547631026
2896,29,0.7616082223523043
7778,13,0.7615524007062541
3521,7,0.7611909022540403
12943,20,0.7600199279588682
3433,11,0.7599539172450767
10071,29,0.7598800082484232
10912,13,0.7598040695536159
10999,29,0.7597474238145124
4457,33,0.7595808391720262
12421,13,0.7586821690392536
183,13,0.7580217812507828
12410,17,0.7579548680324278
3854,6,0.7579476241708893
6818,6,0.7579154919039139
10513,37,0.7577740735075335
6758,5,0.7574562262179358
6696,33,0.7571588379851156
11054,5,0.7570580690954529
8910,26,0.7564189908136578
10171,13,0.7563382142019008
8617,13,0.7561871633968569
9650,34,0.7560324700569232
8517,34,0.755241981517047
10948,32,0.7548409510693408
833,6,0.7546423676045689
993,33,0.7542445472172449
11540,13,0.7534545090286567
2688,17,0.7530825961311927
12427,13,0.753017061159211
11003,13,0.7524071109888032
1830,13,0.7520722212558527
2568,7,0.7520453292268616
6346,33,0.7518210372670847
6354,33,0.7518042261535783
11486,13,0.7505705697371766
9239,20,0.7502499848716033
7486,13,0.7501823668624262
6838,7,0.7494351870840743
9252,27,0.7494152349265188
2485,33,0.7485975963397191
6429,13,0.7485048541787552
5218,7,0.7470352255621612
8156,7,0.7469507209304104
7043,13,0.7461691728664671
7173,13,0.7457870563307504
10926,13,0.7453846048296975
2250,39,0.74518228128076
9253,39,0.7449614761233598
4742,35,0.7443495198153529
10543,29,0.743856316835801
2263,26,0.74366874118492
5194,26,0.7435771074638907
10605,7,0.7431296329441299
103,31,0.7430875096988836
6262,13,0.7424981581876303
99,38,0.7418470593414598
10604,37,0.7415372596143137
10074,29,0.7408890839893023
12874,7,0.740656220030634
71,31,0.7402998587974549
8333,39,0.7400802066737561
6138,30,0.7394297183642391
3,31,0.739401050036225
10474,29,0.7389126810555297
10280,29,0.7383090554925897
6857,22,0.7380265918236665
122,34,0.737998538983998
3156,37,0.7379929476941124
104,31,0.7374865099020391
9683,34,0.7372136064534056
13204,13,0.7371555253773139
2617,34,0.7370903875644004
361,7,0.7360533650679149
7441,13,0.7356698098869384
6137,30,0.7351859032617128
11676,31,0.7351014328061712
9893,3,0.7350241718346644
8385,26,0.7346644118636623
12328,31,0.7343423434937592
12469,34,0.7340998762404993
11650,31,0.7340505346174983
538,7,0.7339521865448039
706,39,0.7337326989598623
8489,13,0.7336732381320559
10699,11,0.7333817169195127
10634,29,0.733189588554128
7646,13,0.7331839770433903
7616,39,0.7323823614688009
8676,13,0.731822663542397
12008,17,0.7317442165044954
4986,13,0.7313943422696028
66,34,0.7311079058410035
13213,13,0.7309138580448158
13067,13,0.7307046148089518
7748,34,0.7303461057471563
7459,34,0.7302984743229969
10257,22,0.7300013389191529
7826,34,0.7289529118296844
12496,34,0.7289018794265624
4460,26,0.7276317126219637
1964,33,0.7275103193408959
3627,13,0.727396840927288
1831,39,0.727388246490324
12489,17,0.7268544362095857
6868,13,0.7265878398933898
10254,37,0.7265576760810873
2516,26,0.7265485914270453
7202,6,0.7261456033495401
11673,33,0.7259495411297384
10008,1,0.72594682928888
4707,33,0.7259427801768173
1030,33,0.7255585452871781
5408,33,0.7254196042446199
9955,22,0.7253543546571736
8668,13,0.7253166159011547
10692,37,0.7252886367299194
10717,29,0.7250118145575496
9020,26,0.7249092494806214
8968,7,0.7240333136402687
7689,21,0.7240241401614779
9024,26,0.7234900953815224
