doc_id,related_cluster,relevance_score
5670,37,0.7863483568787006
12557,35,0.7860381617882068
9226,36,0.7859239911283754
14814,36,0.7856309895632004
12296,37,0.7852991205051096
10666,36,0.7852616075179268
6697,37,0.785013230926679
6641,36,0.7848749340844441
12423,2,0.7847811521233532
3662,3,0.7844614681237977
4257,36,0.7834799415571885
11841,16,0.7833832398627602
1152,3,0.7829643592751703
4166,0,0.7823938480703055
13047,3,0.7820638749589919
2852,4,0.7817979773222664
14520,36,0.7817209842544648
5241,3,0.7816258961312949
9968,3,0.7816096948775415
5100,7,0.7812402748023778
1070,36,0.7811677095780134
13916,36,0.7801371559886963
10848,36,0.7800810395187217
2079,36,0.7795720795371286
12278,12,0.7794077148289307
12444,3,0.7793953578916791
10469,12,0.7793244040048288
14103,3,0.7790197119507571
4433,3,0.7790190311105875
6201,16,0.7787276470841537
12256,3,0.7785672012011203
14776,7,0.7783776678925629
15088,36,0.7782448066426141
11653,3,0.7782084556989752
14758,36,0.7780435252183256
6013,2,0.7778424172392119
6609,3,0.7775379271783538
13347,12,0.777534364794081
5245,22,0.777400183607181
8309,3,0.777331312718749
14586,36,0.7769504277226738
6418,36,0.7768814442108206
1255,3,0.776825919143182
762,35,0.7767789834091756
8820,37,0.7764123542905084
171,16,0.7762469313412539
8000,15,0.7759729101488091
14566,36,0.775869043853325
2215,36,0.7758054090717367
13027,3,0.7753151728757874
1376,36,0.7751586727799257
5531,3,0.7751443909707785
8186,37,0.7750127296799894
13932,36,0.7743278246863637
14912,3,0.7743202890013233
5342,0,0.7742727907402983
4524,3,0.7742272169343258
4,35,0.7736490186912588
9539,15,0.7734140175031754
6955,3,0.7729330899612514
337,15,0.7729192594324958
15068,35,0.7728547222670854
9438,37,0.7724848121426761
5040,37,0.7723817640978727
4839,37,0.7715462600478286
4919,37,0.7715154993800657
7506,6,0.7713861698488136
12821,36,0.7712424115443175
12779,3,0.7709598565492681
4268,3,0.7709140396034875
4041,36,0.770486597686434
6780,0,0.7702171211238295
6799,0,0.7702092998020198
7830,12,0.7701986228920763
8530,3,0.769852589372295
1713,3,0.7698460105790402
12715,37,0.769742550784383
14705,36,0.7694081056394725
11636,3,0.7693216234814052
9800,37,0.769274765325266
1645,36,0.7691608871529673
14474,36,0.7691104360147839
5363,4,0.7688968927140558
1080,36,0.7683409134571003
14503,36,0.7681896973621208
2432,0,0.768067667657052
12280,37,0.7679946991130899
14673,36,0.7679857792526721
6313,31,0.7678634950405614
3415,3,0.7677222499136414
5635,36,0.7668563913271045
4690,37,0.7667400799789983
7911,3,0.7663539551591941
12786,3,0.7663297969925834
4643,3,0.7662903170139695
4841,12,0.7656061356980692
8497,36,0.7655201469190449
8665,15,0.7655130880834484
14136,2,0.7654211316787926
2668,36,0.7654203650468739
3777,0,0.7653911843733714
13469,34,0.7650274739194997
13451,34,0.7650099327420604
7210,36,0.7648392471421063
14994,3,0.7646148994558102
9473,3,0.7642567345302816
7820,35,0.7641961576333727
14739,36,0.7640424174194487
11076,2,0.7640040369487928
3768,37,0.763607401297974
14271,3,0.763391556532948
1250,36,0.7633153456959565
5572,15,0.7631721014257089
12995,36,0.7631336525646962
5945,8,0.7628294140702414
4022,4,0.7626286178766818
2169,3,0.762487360571178
1406,35,0.7623611586994546
1352,35,0.7623055731692782
11822,37,0.7623049209348154
14933,3,0.7621616394116871
27,35,0.7621600656291845
72,3,0.7621219828080683
7529,36,0.7620833434943778
8775,37,0.7619804822227091
121,3,0.7619359448683354
6664,3,0.7618031483146053
9897,15,0.7617795785069972
